id,title,layer,source_id,source_url,license_id,license_url,attribution,destination,status,verified_on,verification_note,sha256
ambuda-ramayana,Valmiki Ramayana,root-text,ambuda-dcs,https://raw.githubusercontent.com/ambuda-org/dcs/main/ramayanam.txt,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"Oliver Hellwig, Digital Corpus of Sanskrit (2010-2021); sanitized distribution by Ambuda",texts/cc-by-4.0/ambuda/ramayanam.txt,approved,2026-08-09,Ambuda repository README states DCS license CC BY 4.0.,f8d45c1289b15182867bd0c94d15886f8d8b1b10c4e7fc9a9b6a78fd5142e3b8
ambuda-mahabharata,Mahabharata,root-text,ambuda-dcs,https://raw.githubusercontent.com/ambuda-org/dcs/main/mahabharatam.txt,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"Oliver Hellwig, Digital Corpus of Sanskrit (2010-2021); sanitized distribution by Ambuda",texts/cc-by-4.0/ambuda/mahabharatam.txt,approved,2026-08-09,Ambuda repository README states DCS license CC BY 4.0.,8e871cc252997c03bfb59d47bcfe017c6194041914746cb0a72e4150bd0f120e
sarit-nyaya-vatsyayana,Nyayasutra with Vatsyayana Nyayabhasya,root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/vatsyayana-nyayabhasya.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Young Buddhist Association of the University of Tokyo (Bussei); distributed by SARIT,texts/cc-by-sa-3.0/sarit/vatsyayana-nyayabhasya.xml,approved,2026-08-09,TEI header explicitly states CC BY-SA 3.0 and attribution.,f46b12b0b9cf00b8004498a9d6a1433f64b9f3dc1447aa58646398c5739bb3ba
sarit-patanjali-vyasa,Patanjalayogasastra (Yogasutra with Bhasya),root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/patanjalayogasastra.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Philipp Maas; subsequent contributors recorded in TEI revision history; distributed by SARIT,texts/cc-by-sa-3.0/sarit/patanjalayogasastra.xml,approved,2026-08-09,TEI header explicitly states CC BY-SA 3.0 and attribution.,50805a578d250dccbb9a26112d26bdd04115cc895d01509da59d9b8bf7c2e9a6
sarit-bhoja-rajamartanda,Rajamartanda or Bhojavritti,commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/bhoja-rajamartanda.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Bhojaraja; machine-readable version by Suryansu Ray; distributed by SARIT,texts/cc-by-sa-3.0/sarit/bhoja-rajamartanda.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,5807ffb3b0d709ed3f87bca3f58f0fc0f410c915752f959db574283cf6a000af
sarit-brahmapurana,Brahmapurana,root-text,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/brahmapurana.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Peter Schreiner and Renate Sohnen; SARIT contributors recorded in the TEI header,texts/cc-by-sa-3.0/sarit/brahmapurana.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,6f4438f5d6ce9c3aa9c12f05fbdeb9485b4f08d68c7b6fbccfe58dcbdd6e5a0b
sarit-carakasamhita,Carakasamhita with Ayurvedadipika,root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/carakasamhita.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Tsutomu Yamashita, Yasutaka Muroya, and contributors recorded in the TEI header; distributed by SARIT",texts/cc-by-sa-3.0/sarit/carakasamhita.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,9f8c1730ff16265b909236539eebcfaa6ddb365fb67c0e07ff4d406b1b583c71
sarit-kautalyarthasastra,Kautilya Arthasastra,root-text,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/kautalyarthasastra.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Muneo Tokunaga, Richard Mahoney, Jinkyoung Choi, and SARIT",texts/cc-by-sa-3.0/sarit/kautalyarthasastra.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,9eed724dd0bc803e9d32fb8032aa432c352f53d0bb5355fb22a8767d7415e1d2
sarit-manusmrti,Manusmrti,root-text,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/manusmrti.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Contributors and source editions recorded in the TEI header; distributed by SARIT,texts/cc-by-sa-3.0/sarit/manusmrti.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,eca7717e1543f60bc0784a02f9a900dc572496e74845a8f51c08aaf0c9490ee3
sarit-naradasmrti,Naradasmrti,root-text,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/naradasmrti.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Richard W. Lariviere, Yasuke Ikari, and contributors recorded in the TEI header; distributed by SARIT",texts/cc-by-sa-3.0/sarit/naradasmrti.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,965dc6e3e68c183d700b4afb83de76b4f2b44ffed1a7335f2fd6581230ed9f87
