school,commentator_or_author,work_or_commentary,relationship_type,base_text,resource,host,url,access,rights,mirror_status,notes
Nyāya,Akṣapāda Gautama (Gotama),Nyāya Sūtra,Foundational sūtra,,SARIT Nyāyasūtra with Vātsyāyana Bhāṣya,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/vatsyayana-nyayabhasya.xml,CC BY-SA 3.0,Per TEI header,approved,Direct machine-readable text; attribution and chronology should be treated historically.
Nyāya,Vātsyāyana,Nyāya Bhāṣya,Commentary,,SARIT direct file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/vatsyayana-nyayabhasya.xml,CC BY-SA 3.0,Per TEI header,approved,Contains root sūtras and bhāṣya.
Nyāya,Udayana,Nyāyakusumāñjali; Kiraṇāvalī; Ātmatattvaviveka,Treatises/commentary,,GRETIL repository search,GitHub,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Udayana&type=code,Free/open access,File-specific,link-only-pending-rights,Search results route; use archive search for scanned editions.
Navya-Nyāya,Gaṅgeśa Upādhyāya,Tattvacintāmaṇi,Foundational Navya-Nyāya treatise,,GRETIL Śabdakhaṇḍa e-text,GRETIL,https://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/nyaya/gangtciu.htm,Free/open access,Source-edition/file terms apply,link-only-pending-rights,Direct e-text for the language/testimony section; other sections available through GRETIL/archive searches.
Vaiśeṣika,Kaṇāda,Vaiśeṣika Sūtra,Foundational sūtra,,Internet Archive title search,Internet Archive,https://archive.org/search?query=%22Vaisesika+Sutra%22+Kanada,Free access,Item-by-item; prefer historical editions,link-only-pending-rights,Discovery route because editions/translations differ.
Vaiśeṣika,Praśastapāda,Padārthadharmasaṅgraha (Praśastapāda Bhāṣya),Systematic commentary/treatise,,SARIT direct file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/prasastapada-padarthadharmasangraha.xml,Open-license corpus,See TEI header,link-only-pending-rights,Direct Sanskrit TEI text.
Sāṃkhya,Kapila,Sāṃkhyapravacana Sūtra; Tattvasamāsa (traditional attributions),Attributed foundational texts,,Internet Archive title search,Internet Archive,https://archive.org/search?query=%28%22Sankhya+Pravachana+Sutra%22+OR+Tattvasamasa%29+Kapila,Free access,Item-by-item,link-only-pending-rights,Traditional attribution to Kapila; extant Sāṃkhyapravacana Sūtra is generally regarded as much later.
Sāṃkhya,Īśvarakṛṣṇa,Sāṃkhyakārikā,Foundational kārikā,,GRETIL repository search,GitHub,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Samkhyakarika&type=code,Free/open access,File-specific,link-only-pending-rights,Also seek Gauḍapāda's Bhāṣya and Vācaspati Miśra's Tattvakaumudī.
Yoga,Patañjali,Pātañjalayogaśāstra / Yoga Sūtra,Foundational sūtra,,SARIT direct file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/patanjalayogasastra.xml,Open-license corpus,See TEI header,link-only-pending-rights,Integrated sūtra-bhāṣya text.
Yoga,Vyāsa,Yoga Bhāṣya,Commentary,,SARIT Pātañjalayogaśāstra,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/patanjalayogasastra.xml,Open-license corpus,See TEI header,link-only-pending-rights,The file presents the classical sūtra-bhāṣya complex.
Pūrva Mīmāṃsā,Jaimini,Mīmāṃsā Sūtra,Foundational sūtra,,Internet Archive title search,Internet Archive,https://archive.org/search?query=%22Mimamsa+Sutras+of+Jaimini%22,Free access,Prefer clearly public-domain editions/translations,link-only-pending-rights,Ganganath Jha historical translations are common.
Pūrva Mīmāṃsā,Śabara,Śābara Bhāṣya,Commentary,,Internet Archive title search,Internet Archive,https://archive.org/search?query=%22Sabara+Bhasya%22,Free access,Item-by-item,link-only-pending-rights,Search Sanskrit editions and Ganganath Jha's historical English translation.
Bhāṭṭa Mīmāṃsā,Kumārila Bhaṭṭa,Tantravārttika; Ślokavārttika; Ṭupṭīkā,Subcommentary/treatises,,SARIT Tantravārttika direct file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/kumarila-tantravarttika.xml,Open-license corpus,See TEI header,link-only-pending-rights,Direct Sanskrit TEI; use archive search for Ślokavārttika translations.
Prābhākara Mīmāṃsā,Prabhākara Miśra,Bṛhatī; Laghvī,Commentaries,,Internet Archive title search,Internet Archive,https://archive.org/search?query=Prabhakara+Brhati+Mimamsa,Free access,Item-by-item,link-only-pending-rights,Materials are scarcer; many modern studies are copyrighted.
Vedānta,Bādarāyaṇa,Brahma Sūtra / Vedānta Sūtra,Foundational sūtra,,Gita Supersite Brahma Sūtra portal,IIT Kanpur,https://www.gitasupersite.iitk.ac.in/,Free to read,Portal and translation/commentary rights mixed,link-only-pending-rights,Use with multiple school commentaries rather than a single harmonized reading.
Advaita Vedānta,Gauḍapāda,Māṇḍūkya Kārikā,Kārikā/commentarial text,,GRETIL repository search,GitHub,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Gaudapada+Mandukya&type=code,Free/open access,File-specific,link-only-pending-rights,Historical English translations also in Archive.org scans.
Advaita Vedānta,Ādi Śaṅkarācārya,Brahma Sūtra Bhāṣya; Upaniṣad Bhāṣyas; Bhagavad Gītā Bhāṣya,Commentaries,,Gita Supersite text catalogue,IIT Kanpur,https://www.gitasupersite.iitk.ac.in/srimad/texts,Free to read,Sanskrit ancient commentary public domain; modern translations may be copyrighted,link-only-pending-rights,Portal identifies Sanskrit and translated commentary editions.
Advaita Vedānta,Madhusūdana Sarasvatī,Advaitasiddhi; Gūḍhārthadīpikā; Ātmabodhaprakaraṇa,Treatises/commentary,,SARIT direct Ātmabodhaprakaraṇa file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/madhusudanasarasvati-atmabodhaprakarana.xml,Open-license corpus,See TEI header,link-only-pending-rights,For Advaitasiddhi and Gūḍhārthadīpikā use GRETIL/Archive discovery.
