id,category,subgroup,title,aliases,parent_work,attribution,catalog_status,mirror_status,commentary_status,candidate_source,review_note
sruti-rigveda-samhita,Śruti,Vedic Saṃhitā,Rigveda Samhita,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Rigveda+Samhita&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-samaveda-samhita,Śruti,Vedic Saṃhitā,Samaveda Samhita,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Samaveda+Samhita&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-yajurveda-samhita,Śruti,Vedic Saṃhitā,Yajurveda Samhita,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Yajurveda+Samhita&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-atharvaveda-samhita,Śruti,Vedic Saṃhitā,Atharvaveda Samhita,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Atharvaveda+Samhita&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-aitareya-brahmana,Śruti,Brāhmaṇa,Aitareya Brahmana,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Aitareya+Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-kaushitaki-brahmana,Śruti,Brāhmaṇa,Kaushitaki Brahmana,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kaushitaki+Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-shatapatha-brahmana,Śruti,Brāhmaṇa,Shatapatha Brahmana,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Shatapatha+Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-taittiriya-brahmana,Śruti,Brāhmaṇa,Taittiriya Brahmana,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Taittiriya+Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-gopatha-brahmana,Śruti,Brāhmaṇa,Gopatha Brahmana,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Gopatha+Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-aitareya-aranyaka,Śruti,Āraṇyaka / requested structural layer,Aitareya Aranyaka,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Aitareya+Aranyaka&type=code,"Verify title normalization, recension, edition, and item-level rights."
